2022-02-09 09:14:01,092 WARN  [XNIO-1 task-4] AdviceTraits: Unauthorized: Full authentication is required to access this resource
2022-02-09 11:15:16,156 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@43aae022 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-02-09 11:15:16,162 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@7febf9ba (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-02-09 11:15:16,164 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@446fa910 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-02-09 11:15:16,166 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@5050ea4f (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-02-09 11:15:16,167 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@51ec2066 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-02-09 11:15:16,169 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@716a35c8 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-02-09 11:15:16,171 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@48f435dc (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-02-09 11:15:16,174 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@1f21bc1f (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-02-09 11:15:16,176 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@2f7e408d (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-02-09 11:15:16,178 WARN  [XNIO-1 task-2] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@f9ae4df (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-02-09 11:15:16,420 WARN  [XNIO-1 task-2] RestClient: request [POST http://10.60.27.22:9200/dealer/_search?typed_keys=true&max_concurrent_shard_requests=5&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true&ignore_throttled=true&search_type=dfs_query_then_fetch&batched_reduce_size=512&ccs_minimize_roundtrips=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-09 11:20:19,871 WARN  [XNIO-1 task-3] RestClient: request [PUT http://10.60.27.22:9200/dealer/_doc/6402?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
