2022-02-21 05:32:33,974 WARN  [hz.erpSystem.InvocationMonitorThread] InvocationMonitor: [172.18.0.3]:5701 [dev] [4.1.5] MonitorInvocationsTask delayed 213888003 ms
2022-02-21 05:32:37,959 INFO  [hz.erpSystem.cached.thread-6] ClusterHeartbeatManager: [172.18.0.3]:5701 [dev] [4.1.5] System clock apparently jumped from 2022-02-18 18:07:44.953 to 2022-02-21 05:32:37.957 since last heartbeat (+213888004 ms)
2022-02-21 05:32:37,959 WARN  [hz.erpSystem.cached.thread-6] ClusterHeartbeatManager: [172.18.0.3]:5701 [dev] [4.1.5] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 213888004 ms, Heartbeat-Timeout: 60000 ms
2022-02-21 05:32:47,972 WARN  [hz.erpSystem.InvocationMonitorThread] InvocationMonitor: [172.18.0.3]:5701 [dev] [4.1.5] BroadcastOperationControlTask delayed 213888007 ms
2022-02-21 06:51:03,561 DEBUG [background-preinit] logging: Logging Provider: org.jboss.logging.Log4j2LoggerProvider
2022-02-21 06:51:03,958 INFO  [main] ErpSystemApp: The following profiles are active: prod,api-docs
2022-02-21 06:51:07,370 INFO  [main] WebConfigurer: Web application configuration, using profiles: prod
2022-02-21 06:51:07,371 INFO  [main] WebConfigurer: Web application fully configured
2022-02-21 06:51:10,613 WARN  [main] HazelcastInstanceFactory: Hazelcast is starting in a Java modular environment (Java 9 and newer) but without proper access to required Java packages. Use additional Java arguments to provide Hazelcast access to Java internal API. The internal API access is used to get the best performance results. Arguments to be used:
 --add-modules java.se --add-exports java.base/jdk.internal.ref=ALL-UNNAMED --add-opens java.base/java.lang=ALL-UNNAMED --add-opens java.base/java.nio=ALL-UNNAMED --add-opens java.base/sun.nio.ch=ALL-UNNAMED --add-opens java.management/sun.management=ALL-UNNAMED --add-opens jdk.management/com.sun.management.internal=ALL-UNNAMED
2022-02-21 06:51:10,733 INFO  [main] system: [172.18.0.3]:5701 [dev] [4.1.5] Hazelcast 4.1.5 (20210817 - 270c5be) starting at [172.18.0.3]:5701
2022-02-21 06:51:11,137 INFO  [main] DiscoveryService: [172.18.0.3]:5701 [dev] [4.1.5] No discovery strategy is applicable for auto-detection
2022-02-21 06:51:11,221 INFO  [main] Node: [172.18.0.3]:5701 [dev] [4.1.5] Using Multicast discovery
2022-02-21 06:51:11,226 WARN  [main] CPSubsystem: [172.18.0.3]:5701 [dev] [4.1.5] CP Subsystem is not enabled. CP data structures will operate in UNSAFE mode! Please note that UNSAFE mode will not provide strong consistency guarantees.
